Experience,Qualifications,Salary Range,location,Work Type,Job Title,Role,Job Description,skills,Company
4 to 8 Years,MBA,$65K-$121K,Sanaa,Part-Time,Human Resources Manager,HR Generalist,"HR Generalists handle various HR functions, including recruitment, employee relations, benefits administration, and HR compliance. They serve as a resource for employees and management, ensuring HR policies and practices align with organizational goals and legal requirements.",HR policies and procedures Employee relations Recruitment Communication skills,Hess
0 to 8 Years,MCA,$61K-$91K,Banjul,Part-Time,Legal Secretary,Court Clerk,"A Court Clerk manages administrative tasks within a court system, including maintaining court records, scheduling hearings, and assisting judges and legal professionals as needed.",Knowledge of court procedures Legal document management Attention to detail Computer literacy Organization skills,ManpowerGroup
4 to 11 Years,BA,$58K-$121K,Hagatna,Part-Time,Software Tester,Automation Tester,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",Halma
5 to 9 Years,BBA,$57K-$99K,Jakarta,Contract,Legal Assistant,Paralegal,"Assist lawyers with legal research, document preparation, and case management in law firms or legal departments.","Legal research Document drafting Case management E-filing Legal databases (e.g., LexisNexis) Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency",PNC Financial Services Group
3 to 15 Years,B.Com,$60K-$86K,Wellington,Full-Time,Substance Abuse Counselor,Family Counselor,"A Family Counselor works with families to address interpersonal issues, improve communication, and resolve conflicts, fostering healthier family dynamics.",Family counseling Marriage and family therapy Conflict resolution skills,Pioneer Natural Resources
5 to 8 Years,PhD,$60K-$113K,Apia,Part-Time,Aerospace Engineer,Aircraft Design Engineer,"Aircraft Design Engineers design and develop aircraft systems and structures. They work on aircraft components, propulsion systems, and aerodynamics to ensure safety and efficiency.","Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations",Adani Ports and Special Economic Zone
2 to 13 Years,MCA,$59K-$99K,Freetown,Full-Time,Marketing Manager,Brand Manager,"Brand Managers are responsible for maintaining and enhancing a brands image and reputation. They develop brand strategies, oversee branding campaigns, and ensure brand consistency in all marketing and communication efforts.",Brand strategy development Brand identity and design Brand storytelling Marketing campaigns Brand performance measurement Creative thinking Strong communication skills,Divi's Laboratories
4 to 9 Years,BCA,$61K-$105K,Paris,Full-Time,Research Analyst,Market Research Analyst,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail",Cholamandalam Investment and Finance Company
1 to 15 Years,BBA,$58K-$91K,Vienna,Intern,Social Media Coordinator,Content Creator,"Create engaging and relevant content, such as articles, videos, or social media posts, to promote brands or products.","Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity",MGM Resorts International
2 to 15 Years,M.Tech,$55K-$116K,Naypyidaw,Part-Time,Dental Hygienist,Periodontal Therapist,A Periodontal Therapist specializes in treating gum diseases and conditions. They perform procedures such as scaling and root planing to improve oral health and prevent tooth loss.,Periodontal therapy procedures Patient care and communication Dental instrumentation Periodontal disease management Oral health education,Charles Schwab
4 to 9 Years,BCA,$60K-$102K,Kuwait City,Contract,Customer Service Representative,Call Center Agent,"A Call Center Agent handles incoming and outgoing customer calls, providing assistance, resolving issues, and ensuring a positive customer experience over the phone.",Customer service Call center operations Problem-solving skills,Hershey
4 to 11 Years,B.Com,$56K-$107K,Buenos Aires,Contract,Family Nurse Practitioner,Pediatric Nurse Practitioner,"Pediatric Nurse Practitioners specialize in pediatric care. They provide healthcare to children, including diagnosis, treatment, and preventive care.",Pediatric healthcare Pediatric assessment Pediatric treatment Patient education Pediatric pharmacology,McKesson
3 to 10 Years,M.Tech,$63K-$125K,Asmara,Full-Time,Web Designer,Frontend Web Designer,"Frontend Web Designers create the visual elements and user interfaces of websites. They use HTML, CSS, and JavaScript to design responsive, user-friendly web pages, ensuring a seamless and visually appealing online experience.",Frontend web development HTML/CSS Responsive design User interface (UI) design Adobe Creative Suite Collaboration skills,SBI Life Insurance Company
1 to 8 Years,B.Tech,$60K-$98K,City of Port Louis,Full-Time,Human Resources Manager,Talent Acquisition Manager,"Talent Acquisition Managers oversee the recruitment and hiring process. They develop recruitment strategies, source candidates, conduct interviews, and collaborate with hiring managers to attract and hire qualified talent to meet the organizations staffing needs.",Talent sourcing Interviewing Onboarding Recruitment strategies HR software,State Street
3 to 15 Years,BA,$58K-$125K,Baku,Intern,Software Engineer,Backend Developer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",LKQ
2 to 10 Years,BCA,$59K-$107K,Nuku?alofa,Part-Time,Executive Assistant,Personal Assistant,"A Personal Assistant provides administrative support to individuals or executives. Their duties include managing schedules, arranging meetings, handling correspondence, and performing various tasks to enhance efficiency.",Organizational and time management skills Calendar and appointment management Communication and correspondence Travel coordination Discretion and confidentiality,Commerzbank AG
4 to 13 Years,BA,$65K-$81K,Kingstown,Contract,Front-End Developer,Web Designer,"A Web Designer specializes in designing visually appealing and responsive websites. They create layouts, graphics, and user interfaces to enhance the online presence of businesses.","Web design concepts Graphic design software (e.g., Adobe Creative Suite) HTML and CSS Responsive design User interface (UI) principles Visual communication Typography Color theory Creativity Attention to detail Collaboration",Visa
